mu_DM,sigma_DM,alpha,A
1.259999999999999964e+01,2.700000000000000178e-01,1.000000000000000056e-01,2.633117362601032685e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.025641025641025744e-01,2.655197241746078518e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.051282051282051294e-01,2.677201731753783065e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.076923076923076983e-01,2.699227108441279555e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.102564102564102672e-01,2.721500795360396907e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.128205128205128221e-01,2.744124022450859623e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.153846153846153910e-01,2.767169503215862747e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.179487179487179460e-01,2.790877644964106175e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.205128205128205149e-01,2.815338511499818619e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.230769230769230838e-01,2.840216299759745322e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.256410256410256387e-01,2.865198172239234786e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.282051282051282215e-01,2.890216045329104144e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.307692307692307765e-01,2.915061616896293284e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.333333333333333315e-01,2.939334942675877915e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.358974358974359142e-01,2.963043189225345042e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.384615384615384692e-01,2.986610532062706103e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.410256410256410242e-01,3.010395872060266154e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.435897435897435792e-01,3.034535835934279113e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.461538461538461620e-01,3.059033683330065756e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.487179487179487170e-01,3.083929982653316859e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.512820512820512997e-01,3.109292848224011863e+00
